epoch,global_step,phase,loss,accuracy,f1_macro,f1_weighted,precision,recall,learning_rate,wall_sec
0.0083,50,train,6.534285,,,,,,0.00000054,73.2
0.0167,100,train,5.746396,,,,,,0.00000110,84.4
0.0250,150,train,4.949638,,,,,,0.00000165,94.6
0.0333,200,train,4.655154,,,,,,0.00000221,105.8
0.0416,250,train,4.266039,,,,,,0.00000277,117.1
0.0500,300,train,3.902799,,,,,,0.00000332,129.3
0.0583,350,train,3.597488,,,,,,0.00000388,140.6
0.0666,400,train,3.367640,,,,,,0.00000443,150.9
0.0749,450,train,3.331749,,,,,,0.00000499,163.1
0.0833,500,train,3.180111,,,,,,0.00000554,173.4
0.0916,550,train,3.063763,,,,,,0.00000610,184.7
0.0999,600,train,2.970265,,,,,,0.00000665,196.0
0.1082,650,train,2.857887,,,,,,0.00000721,208.2
0.1166,700,train,2.830705,,,,,,0.00000776,218.6
0.1249,750,train,2.744326,,,,,,0.00000832,230.9
0.1332,800,train,2.647144,,,,,,0.00000887,242.2
0.1415,850,train,2.572921,,,,,,0.00000943,252.6
0.1499,900,train,2.549594,,,,,,0.00000998,264.0
0.1582,950,train,2.561574,,,,,,0.00001054,275.3
0.1665,1000,train,2.513793,,,,,,0.00001109,286.7
0.1749,1050,train,2.541382,,,,,,0.00001165,298.1
0.1832,1100,train,2.445150,,,,,,0.00001220,309.5
0.1915,1150,train,2.429131,,,,,,0.00001276,321.7
0.1998,1200,train,2.461572,,,,,,0.00001331,332.2
0.2082,1250,train,2.392609,,,,,,0.00001387,343.5
0.2165,1300,train,2.433061,,,,,,0.00001443,355.8
0.2248,1350,train,2.374096,,,,,,0.00001498,366.2
0.2331,1400,train,2.365789,,,,,,0.00001554,377.6
0.2415,1450,train,2.287253,,,,,,0.00001609,389.9
0.2498,1500,train,2.272270,,,,,,0.00001665,400.3
0.2581,1550,train,2.270892,,,,,,0.00001720,412.6
0.2664,1600,train,2.334175,,,,,,0.00001776,424.0
0.2748,1650,train,2.307851,,,,,,0.00001831,434.4
0.2831,1700,train,2.279158,,,,,,0.00001887,445.8
0.2914,1750,train,2.306021,,,,,,0.00001942,457.1
0.2998,1800,train,2.157669,,,,,,0.00001998,468.5
0.3081,1850,train,2.220758,,,,,,0.00001994,479.8
0.3164,1900,train,2.269082,,,,,,0.00001988,491.2
0.3247,1950,train,2.192406,,,,,,0.00001982,502.5
0.3331,2000,train,2.124925,,,,,,0.00001976,513.9
0.3414,2050,train,2.196394,,,,,,0.00001969,526.1
0.3497,2100,train,2.125163,,,,,,0.00001963,536.6
0.3580,2150,train,2.237498,,,,,,0.00001957,548.9
0.3664,2200,train,2.225456,,,,,,0.00001951,559.3
0.3747,2250,train,2.150521,,,,,,0.00001945,571.6
0.3830,2300,train,2.161771,,,,,,0.00001939,582.0
0.3913,2350,train,2.012406,,,,,,0.00001932,593.4
0.3997,2400,train,2.115113,,,,,,0.00001926,604.7
0.4080,2450,train,2.184440,,,,,,0.00001920,617.0
0.4163,2500,train,2.054200,,,,,,0.00001914,627.4
0.4246,2550,train,2.127753,,,,,,0.00001908,638.7
0.4330,2600,train,2.050313,,,,,,0.00001902,650.1
0.4413,2650,train,2.046442,,,,,,0.00001895,661.4
0.4496,2700,train,2.016310,,,,,,0.00001889,672.7
0.4580,2750,train,1.957607,,,,,,0.00001883,685.0
0.4663,2800,train,2.048950,,,,,,0.00001877,695.5
0.4746,2850,train,2.051879,,,,,,0.00001871,706.8
0.4829,2900,train,2.021407,,,,,,0.00001865,719.1
0.4913,2950,train,2.081711,,,,,,0.00001858,730.4
0.4996,3000,train,2.009131,,,,,,0.00001852,740.9
0.5079,3050,train,1.981754,,,,,,0.00001846,753.1
0.5162,3100,train,1.959130,,,,,,0.00001840,764.5
0.5246,3150,train,2.109534,,,,,,0.00001834,774.9
0.5329,3200,train,1.934637,,,,,,0.00001828,786.3
0.5412,3250,train,1.934014,,,,,,0.00001821,798.5
0.5495,3300,train,1.994459,,,,,,0.00001815,808.9
0.5579,3350,train,1.963095,,,,,,0.00001809,821.2
0.5662,3400,train,1.915179,,,,,,0.00001803,832.5
0.5745,3450,train,2.027031,,,,,,0.00001797,843.0
0.5828,3500,train,1.897385,,,,,,0.00001791,854.3
0.5912,3550,train,2.008097,,,,,,0.00001784,866.5
0.5995,3600,train,2.051150,,,,,,0.00001778,877.0
0.6078,3650,train,1.929321,,,,,,0.00001772,888.3
0.6162,3700,train,1.881636,,,,,,0.00001766,900.5
0.6245,3750,train,1.954358,,,,,,0.00001760,911.0
0.6328,3800,train,2.008879,,,,,,0.00001754,923.3
0.6411,3850,train,1.931998,,,,,,0.00001747,933.7
0.6495,3900,train,1.991143,,,,,,0.00001741,945.0
0.6578,3950,train,2.005060,,,,,,0.00001735,956.4
0.6661,4000,train,1.913030,,,,,,0.00001729,968.6
0.6744,4050,train,1.895692,,,,,,0.00001723,979.0
0.6828,4100,train,1.957122,,,,,,0.00001717,990.4
0.6911,4150,train,1.920731,,,,,,0.00001710,1001.7
0.6994,4200,train,1.973386,,,,,,0.00001704,1014.0
0.7077,4250,train,1.902369,,,,,,0.00001698,1025.3
0.7161,4300,train,1.900385,,,,,,0.00001692,1036.7
0.7244,4350,train,1.952568,,,,,,0.00001686,1047.2
0.7327,4400,train,1.895310,,,,,,0.00001680,1059.4
0.7410,4450,train,1.929176,,,,,,0.00001673,1070.8
0.7494,4500,train,1.965876,,,,,,0.00001667,1081.2
0.7577,4550,train,1.874469,,,,,,0.00001661,1092.6
0.7660,4600,train,1.878271,,,,,,0.00001655,1104.8
0.7744,4650,train,1.865995,,,,,,0.00001649,1116.2
0.7827,4700,train,1.950951,,,,,,0.00001643,1126.6
0.7910,4750,train,1.781117,,,,,,0.00001636,1138.9
0.7993,4800,train,1.850542,,,,,,0.00001630,1149.3
0.8077,4850,train,1.934013,,,,,,0.00001624,1161.6
0.8160,4900,train,1.809517,,,,,,0.00001618,1172.0
0.8243,4950,train,1.798414,,,,,,0.00001612,1183.3
0.8326,5000,train,1.871162,,,,,,0.00001606,1194.7
0.8410,5050,train,1.882427,,,,,,0.00001599,1207.0
0.8493,5100,train,1.851032,,,,,,0.00001593,1217.4
0.8576,5150,train,1.902401,,,,,,0.00001587,1229.7
0.8659,5200,train,1.886698,,,,,,0.00001581,1240.1
0.8743,5250,train,1.783034,,,,,,0.00001575,1251.5
0.8826,5300,train,1.844371,,,,,,0.00001569,1262.8
0.8909,5350,train,1.836246,,,,,,0.00001562,1275.1
0.8993,5400,train,1.888945,,,,,,0.00001556,1285.5
0.9076,5450,train,1.836165,,,,,,0.00001550,1296.9
0.9159,5500,train,1.868788,,,,,,0.00001544,1308.2
0.9242,5550,train,1.813049,,,,,,0.00001538,1319.6
0.9326,5600,train,1.808058,,,,,,0.00001532,1331.0
0.9409,5650,train,1.796570,,,,,,0.00001525,1342.3
0.9492,5700,train,1.766185,,,,,,0.00001519,1353.7
0.9575,5750,train,1.813211,,,,,,0.00001513,1366.0
0.9659,5800,train,1.836455,,,,,,0.00001507,1376.4
0.9742,5850,train,1.817746,,,,,,0.00001501,1387.7
0.9825,5900,train,1.811362,,,,,,0.00001495,1399.1
0.9908,5950,train,1.816142,,,,,,0.00001488,1410.5
0.9992,6000,train,1.840844,,,,,,0.00001482,1421.8
1.0000,6005,val,2.287821,0.665532,0.419142,0.642514,0.675858,0.665532,,1453.6
1.0075,6050,train,1.613990,,,,,,0.00001476,1465.5
1.0158,6100,train,1.639816,,,,,,0.00001470,1475.9
1.0241,6150,train,1.639728,,,,,,0.00001464,1487.2
1.0325,6200,train,1.672159,,,,,,0.00001458,1498.5
1.0408,6250,train,1.748992,,,,,,0.00001451,1509.9
1.0491,6300,train,1.805760,,,,,,0.00001445,1521.2
1.0575,6350,train,1.664429,,,,,,0.00001439,1532.6
1.0658,6400,train,1.687534,,,,,,0.00001433,1543.9
1.0741,6450,train,1.737565,,,,,,0.00001427,1556.1
1.0824,6500,train,1.644247,,,,,,0.00001421,1567.5
1.0908,6550,train,1.641594,,,,,,0.00001414,1577.9
1.0991,6600,train,1.652021,,,,,,0.00001408,1589.2
1.1074,6650,train,1.727787,,,,,,0.00001402,1601.5
1.1157,6700,train,1.616450,,,,,,0.00001396,1612.9
1.1241,6750,train,1.742280,,,,,,0.00001390,1623.3
1.1324,6800,train,1.671240,,,,,,0.00001383,1635.5
1.1407,6850,train,1.704349,,,,,,0.00001377,1646.0
1.1490,6900,train,1.693534,,,,,,0.00001371,1657.3
1.1574,6950,train,1.664857,,,,,,0.00001365,1669.6
1.1657,7000,train,1.709673,,,,,,0.00001359,1680.1
1.1740,7050,train,1.634765,,,,,,0.00001353,1691.4
1.1823,7100,train,1.741705,,,,,,0.00001346,1702.8
1.1907,7150,train,1.635952,,,,,,0.00001340,1714.1
1.1990,7200,train,1.550120,,,,,,0.00001334,1726.4
1.2073,7250,train,1.617974,,,,,,0.00001328,1737.7
1.2157,7300,train,1.649910,,,,,,0.00001322,1748.2
1.2240,7350,train,1.686998,,,,,,0.00001316,1759.5
1.2323,7400,train,1.617309,,,,,,0.00001309,1771.8
1.2406,7450,train,1.629634,,,,,,0.00001303,1782.2
1.2490,7500,train,1.659488,,,,,,0.00001297,1793.6
1.2573,7550,train,1.638444,,,,,,0.00001291,1805.8
1.2656,7600,train,1.641465,,,,,,0.00001285,1816.3
1.2739,7650,train,1.674302,,,,,,0.00001279,1827.6
1.2823,7700,train,1.656038,,,,,,0.00001272,1839.0
1.2906,7750,train,1.723571,,,,,,0.00001266,1850.3
1.2989,7800,train,1.539484,,,,,,0.00001260,1861.6
1.3072,7850,train,1.674420,,,,,,0.00001254,1873.0
1.3156,7900,train,1.633597,,,,,,0.00001248,1884.3
1.3239,7950,train,1.550108,,,,,,0.00001242,1895.7
1.3322,8000,train,1.699344,,,,,,0.00001235,1907.0
1.3405,8050,train,1.604182,,,,,,0.00001229,1918.4
1.3489,8100,train,1.538216,,,,,,0.00001223,1929.7
1.3572,8150,train,1.587282,,,,,,0.00001217,1941.0
1.3655,8200,train,1.576885,,,,,,0.00001211,1953.3
1.3739,8250,train,1.639795,,,,,,0.00001205,1964.7
1.3822,8300,train,1.595566,,,,,,0.00001198,1975.1
1.3905,8350,train,1.526650,,,,,,0.00001192,1986.5
1.3988,8400,train,1.609457,,,,,,0.00001186,1997.8
1.4072,8450,train,1.660191,,,,,,0.00001180,2009.2
1.4155,8500,train,1.541224,,,,,,0.00001174,2020.5
1.4238,8550,train,1.524865,,,,,,0.00001168,2032.8
1.4321,8600,train,1.551053,,,,,,0.00001161,2043.2
1.4405,8650,train,1.594506,,,,,,0.00001155,2054.5
1.4488,8700,train,1.675482,,,,,,0.00001149,2065.8
1.4571,8750,train,1.632338,,,,,,0.00001143,2077.2
1.4654,8800,train,1.674716,,,,,,0.00001137,2088.5
1.4738,8850,train,1.557375,,,,,,0.00001131,2099.9
1.4821,8900,train,1.621322,,,,,,0.00001124,2112.2
1.4904,8950,train,1.603663,,,,,,0.00001118,2122.6
1.4988,9000,train,1.662871,,,,,,0.00001112,2133.9
1.5071,9050,train,1.604437,,,,,,0.00001106,2146.2
1.5154,9100,train,1.574868,,,,,,0.00001100,2156.6
1.5237,9150,train,1.606505,,,,,,0.00001094,2168.0
1.5321,9200,train,1.540576,,,,,,0.00001087,2179.3
1.5404,9250,train,1.495295,,,,,,0.00001081,2190.6
1.5487,9300,train,1.554507,,,,,,0.00001075,2202.9
1.5570,9350,train,1.653350,,,,,,0.00001069,2214.2
1.5654,9400,train,1.643546,,,,,,0.00001063,2224.6
1.5737,9450,train,1.599205,,,,,,0.00001057,2236.9
1.5820,9500,train,1.628356,,,,,,0.00001050,2247.3
1.5903,9550,train,1.590861,,,,,,0.00001044,2258.7
1.5987,9600,train,1.560508,,,,,,0.00001038,2271.0
1.6070,9650,train,1.649134,,,,,,0.00001032,2281.4
1.6153,9700,train,1.557411,,,,,,0.00001026,2292.7
1.6236,9750,train,1.501265,,,,,,0.00001020,2305.0
1.6320,9800,train,1.605311,,,,,,0.00001013,2316.3
1.6403,9850,train,1.642501,,,,,,0.00001007,2327.6
1.6486,9900,train,1.620534,,,,,,0.00001001,2338.1
1.6570,9950,train,1.533955,,,,,,0.00000995,2349.4
1.6653,10000,train,1.543924,,,,,,0.00000989,2360.8
1.6736,10050,train,1.554076,,,,,,0.00000983,2373.0
1.6819,10100,train,1.557290,,,,,,0.00000976,2383.5
1.6903,10150,train,1.665816,,,,,,0.00000970,2395.7
1.6986,10200,train,1.554920,,,,,,0.00000964,2406.2
1.7069,10250,train,1.527610,,,,,,0.00000958,2417.5
1.7152,10300,train,1.611213,,,,,,0.00000952,2429.8
1.7236,10350,train,1.637136,,,,,,0.00000946,2441.1
1.7319,10400,train,1.475131,,,,,,0.00000939,2451.5
1.7402,10450,train,1.607791,,,,,,0.00000933,2462.8
1.7485,10500,train,1.456366,,,,,,0.00000927,2475.1
1.7569,10550,train,1.533646,,,,,,0.00000921,2485.5
1.7652,10600,train,1.537018,,,,,,0.00000915,2496.9
1.7735,10650,train,1.550907,,,,,,0.00000909,2509.1
1.7818,10700,train,1.445414,,,,,,0.00000902,2519.5
1.7902,10750,train,1.634972,,,,,,0.00000896,2530.9
1.7985,10800,train,1.500362,,,,,,0.00000890,2543.1
1.8068,10850,train,1.523075,,,,,,0.00000884,2553.5
1.8152,10900,train,1.473197,,,,,,0.00000878,2564.8
1.8235,10950,train,1.453708,,,,,,0.00000872,2576.2
1.8318,11000,train,1.559226,,,,,,0.00000865,2587.5
1.8401,11050,train,1.596683,,,,,,0.00000859,2599.8
1.8485,11100,train,1.481165,,,,,,0.00000853,2611.2
1.8568,11150,train,1.486829,,,,,,0.00000847,2621.6
1.8651,11200,train,1.499999,,,,,,0.00000841,2632.9
1.8734,11250,train,1.472286,,,,,,0.00000835,2644.3
1.8818,11300,train,1.566160,,,,,,0.00000828,2656.5
1.8901,11350,train,1.567083,,,,,,0.00000822,2667.9
1.8984,11400,train,1.516140,,,,,,0.00000816,2678.3
1.9067,11450,train,1.469729,,,,,,0.00000810,2689.7
1.9151,11500,train,1.551167,,,,,,0.00000804,2701.1
1.9234,11550,train,1.530213,,,,,,0.00000798,2713.4
1.9317,11600,train,1.494820,,,,,,0.00000791,2724.7
1.9400,11650,train,1.496091,,,,,,0.00000785,2735.1
1.9484,11700,train,1.470665,,,,,,0.00000779,2747.4
1.9567,11750,train,1.533729,,,,,,0.00000773,2757.8
1.9650,11800,train,1.475105,,,,,,0.00000767,2769.1
1.9734,11850,train,1.464784,,,,,,0.00000761,2781.4
1.9817,11900,train,1.505854,,,,,,0.00000754,2792.8
1.9900,11950,train,1.543201,,,,,,0.00000748,2803.1
1.9983,12000,train,1.435765,,,,,,0.00000742,2814.5
2.0000,12010,val,2.212965,0.682332,0.477121,0.665438,0.689406,0.682332,,2846.4
2.0067,12050,train,1.341765,,,,,,0.00000736,2858.0
2.0150,12100,train,1.377034,,,,,,0.00000730,2869.4
2.0233,12150,train,1.349615,,,,,,0.00000724,2879.9
2.0316,12200,train,1.287097,,,,,,0.00000717,2892.1
2.0400,12250,train,1.313750,,,,,,0.00000711,2902.6
2.0483,12300,train,1.284992,,,,,,0.00000705,2914.8
2.0566,12350,train,1.404308,,,,,,0.00000699,2926.2
2.0649,12400,train,1.276815,,,,,,0.00000693,2936.6
2.0733,12450,train,1.386307,,,,,,0.00000687,2948.9
2.0816,12500,train,1.349591,,,,,,0.00000680,2960.2
2.0899,12550,train,1.387493,,,,,,0.00000674,2970.7
2.0983,12600,train,1.244503,,,,,,0.00000668,2982.0
2.1066,12650,train,1.267894,,,,,,0.00000662,2993.3
2.1149,12700,train,1.348035,,,,,,0.00000656,3004.7
2.1232,12750,train,1.297787,,,,,,0.00000650,3016.9
2.1316,12800,train,1.282067,,,,,,0.00000643,3027.3
2.1399,12850,train,1.356113,,,,,,0.00000637,3039.6
2.1482,12900,train,1.334839,,,,,,0.00000631,3050.1
2.1565,12950,train,1.361389,,,,,,0.00000625,3061.4
2.1649,13000,train,1.355047,,,,,,0.00000619,3072.8
2.1732,13050,train,1.277796,,,,,,0.00000613,3085.1
2.1815,13100,train,1.348625,,,,,,0.00000606,3096.4
2.1898,13150,train,1.440238,,,,,,0.00000600,3106.9
2.1982,13200,train,1.356159,,,,,,0.00000594,3118.2
2.2065,13250,train,1.294396,,,,,,0.00000588,3129.6
2.2148,13300,train,1.301115,,,,,,0.00000582,3140.9
2.2231,13350,train,1.254564,,,,,,0.00000576,3153.2
2.2315,13400,train,1.311892,,,,,,0.00000569,3163.7
2.2398,13450,train,1.336016,,,,,,0.00000563,3175.9
2.2481,13500,train,1.338973,,,,,,0.00000557,3186.3
2.2565,13550,train,1.317475,,,,,,0.00000551,3197.7
2.2648,13600,train,1.290271,,,,,,0.00000545,3209.1
2.2731,13650,train,1.267241,,,,,,0.00000539,3220.4
2.2814,13700,train,1.303209,,,,,,0.00000532,3232.7
2.2898,13750,train,1.307920,,,,,,0.00000526,3244.1
2.2981,13800,train,1.280594,,,,,,0.00000520,3254.5
2.3064,13850,train,1.263629,,,,,,0.00000514,3266.8
2.3147,13900,train,1.373575,,,,,,0.00000508,3277.2
2.3231,13950,train,1.311071,,,,,,0.00000502,3288.6
2.3314,14000,train,1.233223,,,,,,0.00000495,3300.8
2.3397,14050,train,1.208700,,,,,,0.00000489,3312.2
2.3480,14100,train,1.246291,,,,,,0.00000483,3322.6
2.3564,14150,train,1.308352,,,,,,0.00000477,3334.0
2.3647,14200,train,1.277001,,,,,,0.00000471,3346.2
2.3730,14250,train,1.254296,,,,,,0.00000465,3356.6
2.3813,14300,train,1.299491,,,,,,0.00000458,3368.0
2.3897,14350,train,1.334937,,,,,,0.00000452,3380.3
2.3980,14400,train,1.274308,,,,,,0.00000446,3390.8
2.4063,14450,train,1.365862,,,,,,0.00000440,3403.0
2.4147,14500,train,1.340381,,,,,,0.00000434,3413.4
2.4230,14550,train,1.291629,,,,,,0.00000428,3424.8
2.4313,14600,train,1.283548,,,,,,0.00000421,3436.1
2.4396,14650,train,1.351691,,,,,,0.00000415,3447.5
2.4480,14700,train,1.332088,,,,,,0.00000409,3458.8
2.4563,14750,train,1.264129,,,,,,0.00000403,3471.0
2.4646,14800,train,1.260676,,,,,,0.00000397,3482.4
2.4729,14850,train,1.347272,,,,,,0.00000391,3492.9
2.4813,14900,train,1.320100,,,,,,0.00000384,3504.2
2.4896,14950,train,1.344004,,,,,,0.00000378,3515.5
2.4979,15000,train,1.306119,,,,,,0.00000372,3526.9
2.5062,15050,train,1.332559,,,,,,0.00000366,3538.3
2.5146,15100,train,1.339980,,,,,,0.00000360,3549.6
2.5229,15150,train,1.223296,,,,,,0.00000354,3561.0
2.5312,15200,train,1.255451,,,,,,0.00000347,3572.3
2.5396,15250,train,1.284762,,,,,,0.00000341,3584.6
2.5479,15300,train,1.314261,,,,,,0.00000335,3595.1
2.5562,15350,train,1.245954,,,,,,0.00000329,3606.4
2.5645,15400,train,1.231012,,,,,,0.00000323,3618.7
2.5729,15450,train,1.235115,,,,,,0.00000317,3629.1
2.5812,15500,train,1.275450,,,,,,0.00000310,3640.5
2.5895,15550,train,1.321025,,,,,,0.00000304,3652.7
2.5978,15600,train,1.236538,,,,,,0.00000298,3663.2
2.6062,15650,train,1.282206,,,,,,0.00000292,3675.4
2.6145,15700,train,1.289975,,,,,,0.00000286,3685.9
2.6228,15750,train,1.253615,,,,,,0.00000280,3698.1
2.6311,15800,train,1.234060,,,,,,0.00000273,3709.5
2.6395,15850,train,1.280690,,,,,,0.00000267,3720.8
2.6478,15900,train,1.220989,,,,,,0.00000261,3732.2
2.6561,15950,train,1.250526,,,,,,0.00000255,3742.6
2.6644,16000,train,1.282943,,,,,,0.00000249,3754.0
2.6728,16050,train,1.291937,,,,,,0.00000243,3765.4
2.6811,16100,train,1.298525,,,,,,0.00000236,3777.6
2.6894,16150,train,1.246988,,,,,,0.00000230,3788.1
2.6978,16200,train,1.233929,,,,,,0.00000224,3800.4
2.7061,16250,train,1.231972,,,,,,0.00000218,3810.8
2.7144,16300,train,1.199220,,,,,,0.00000212,3822.2
2.7227,16350,train,1.267262,,,,,,0.00000206,3833.5
2.7311,16400,train,1.193514,,,,,,0.00000199,3845.8
2.7394,16450,train,1.269417,,,,,,0.00000193,3857.2
2.7477,16500,train,1.315627,,,,,,0.00000187,3867.6
2.7560,16550,train,1.239822,,,,,,0.00000181,3879.9
2.7644,16600,train,1.254412,,,,,,0.00000175,3890.4
2.7727,16650,train,1.241267,,,,,,0.00000168,3901.7
2.7810,16700,train,1.247423,,,,,,0.00000162,3913.1
2.7893,16750,train,1.276188,,,,,,0.00000156,3925.4
2.7977,16800,train,1.242604,,,,,,0.00000150,3935.8
2.8060,16850,train,1.227012,,,,,,0.00000144,3948.1
2.8143,16900,train,1.234927,,,,,,0.00000138,3959.4
2.8226,16950,train,1.228728,,,,,,0.00000131,3970.8
2.8310,17000,train,1.235508,,,,,,0.00000125,3981.2
2.8393,17050,train,1.254232,,,,,,0.00000119,3992.6
2.8476,17100,train,1.194808,,,,,,0.00000113,4003.9
2.8560,17150,train,1.162827,,,,,,0.00000107,4016.2
2.8643,17200,train,1.261502,,,,,,0.00000101,4027.5
2.8726,17250,train,1.245926,,,,,,0.00000094,4037.9
2.8809,17300,train,1.242576,,,,,,0.00000088,4049.3
2.8893,17350,train,1.196841,,,,,,0.00000082,4060.7
2.8976,17400,train,1.305992,,,,,,0.00000076,4072.1
2.9059,17450,train,1.173722,,,,,,0.00000070,4083.4
2.9142,17500,train,1.210973,,,,,,0.00000064,4094.8
2.9226,17550,train,1.215419,,,,,,0.00000057,4106.1
2.9309,17600,train,1.281587,,,,,,0.00000051,4117.5
2.9392,17650,train,1.257844,,,,,,0.00000045,4128.9
2.9475,17700,train,1.226052,,,,,,0.00000039,4140.3
2.9559,17750,train,1.223862,,,,,,0.00000033,4151.6
2.9642,17800,train,1.272419,,,,,,0.00000027,4163.0
2.9725,17850,train,1.266659,,,,,,0.00000020,4174.3
2.9808,17900,train,1.283662,,,,,,0.00000014,4185.7
2.9892,17950,train,1.209718,,,,,,0.00000008,4197.0
2.9975,18000,train,1.217527,,,,,,0.00000002,4208.3
3.0000,18015,val,2.247848,0.684905,0.488371,0.671089,0.690158,0.684905,,4241.3
